Genus	H	NL	L2l	w2l	StD	NF	IL	iaxL	BrL 	Brw	OvL	SlaL	Slaw	PetL	Petw	LipL	LlalL	LmlL	Lipw	Lmlw	SpL	SpD
Orchis	33.00	6.00	13.35	3.05	4.70	42.00	10.25	1.50	2.80	2.50	13.70	13.00	4.30	9.50	1.60	12.20	9.60	10.10	10.40	2.40	8.80	1.20
Orchis	21.90	4.00	10.90	2.25	3.40	19.00	5.60	1.85	3.50	2.40	12.00	12.70	4.70	10.50	1.90	11.80	5.60	10.40	11.30	2.40	9.80	1.40
Orchis	24.40	5.00	10.90	2.80	3.00	21.00	4.75	0.75	3.30	2.70	10.80	11.80	4.20	8.70	1.20	10.20	4.60	9.00	11.40	2.00	7.50	1.30
Orchis	38.50	7.00	15.90	3.55	4.70	41.00	9.10	1.45	4.90	2.80	14.10	15.00	5.70	12.30	2.20	13.80	9.20	11.80	15.00	2.70	10.50	1.60
Orchis	27.10	6.00	13.00	4.50	4.80	42.00	10.20	1.12	3.90	1.90	7.80	9.70	3.20	8.00	1.60	10.00	5.80	7.50	7.20	1.70	5.70	1.20
Orchis	33.30	5.00	11.90	4.40	4.70	24.00	9.90	1.75	9.30	2.20	14.00	11.70	3.50	9.20	1.50	12.10	6.30	10.40	9.20	2.20	7.20	0.90
Orchis	38.20	6.00	16.90	8.30	6.60	35.00	14.10	2.74	5.30	3.10	13.30	14.80	5.60	11.10	1.50	13.30	7.30	11.60	10.60	2.80	7.30	1.70
Orchis	52.00	5.00	14.90	7.00	6.90	51.00	21.80	4.93	7.50	2.60	17.20	13.20	4.70	10.80	1.20	14.20	7.20	12.30	9.80	2.50	7.30	1.60
Orchis	36.80	6.00	14.70	5.15	4.80	31.00	12.50	2.66	5.70	2.50	12.60	13.30	4.80	10.50	1.10	12.90	6.50	11.70	12.80	2.40	8.50	1.20
Orchis	39.80	7.00	16.50	7.75	5.80	50.00	16.20	2.55	7.10	2.00	13.60	10.80	3.90	8.70	1.30	10.00	6.00	7.80	7.90	2.50	6.90	1.30
Orchis	39.00	6.00	18.20	5.85	6.00	43.00	22.90	4.47	8.20	2.10	14.40	10.50	3.70	8.20	1.30	10.00	4.50	8.10	7.20	2.20	5.40	1.20
Orchis	35.80	5.00	14.40	4.25	4.30	34.00	18.50	4.62	5.20	1.80	13.90	12.90	3.90	9.80	1.60	9.80	4.20	8.20	7.50	2.20	6.40	1.20
Orchis	35.30	6.00	16.50	7.15	7.70	60.00	18.50	2.78	6.00	2.20	14.60	13.20	5.00	9.70	1.50	12.30	7.40	10.60	11.10	2.70	7.00	1.10
Orchis	27.30	5.00	8.20	1.70	4.40	16.00	7.10	1.30	3.68	2.01	13.56	13.35	5.02	8.46	1.34	11.08	7.95	8.56	9.03	7.03	4.89	1.76
Orchis	19.40	5.00	6.20	2.60	3.80	17.00	5.20	1.40	3.95	1.67	12.05	14.10	5.36	9.78	1.84	12.71	9.12	9.15	9.88	9.79	4.26	2.15
Orchis	21.80	5.00	6.30	2.20	3.30	15.00	6.70	1.90	3.37	1.89	13.02	14.75	5.41	10.97	1.76	13.17	9.63	11.46	8.53	9.73	4.87	2.04
Orchis	22.30	6.00	7.60	3.30	3.50	23.00	7.10	1.60	4.14	1.60	11.71	14.55	5.54	10.95	1.97	12.68	8.17	10.19	12.05	9.47	5.78	2.51
Orchis	19.10	4.00	5.60	2.30	3.20	12.00	5.40	1.70	3.35	1.86	11.13	10.89	4.14	7.88	1.17	10.89	7.75	8.71	9.29	7.62	5.73	2.28
Orchis	23.40	5.00	6.90	2.30	3.30	14.00	5.80	1.60	4.37	1.69	13.22	12.90	5.02	7.81	1.51	12.19	8.17	9.89	8.45	8.96	5.01	2.19
Orchis	28.70	6.00	8.30	3.60	4.00	18.00	7.10	2.30	3.10	1.34	10.23	11.55	4.30	8.37	2.01	10.93	7.93	7.39	8.22	7.67	5.28	2.18
Orchis	21.80	4.00	8.10	2.20	3.30	17.00	5.20	1.70	4.52	2.01	12.05	14.32	5.06	10.02	1.62	12.76	8.34	9.43	9.45	10.54	5.86	1.93
Orchis	27.60	4.00	8.20	2.70	2.80	10.00	5.40	2.10	3.47	1.84	10.55	11.18	4.21	8.05	1.53	10.96	7.72	7.81	7.78	7.92	4.97	2.13
Orchis	23.80	5.00	8.90	3.10	3.50	19.00	6.10	1.70	5.20	1.93	14.02	14.71	4.98	11.80	1.42	12.19	8.19	9.75	10.13	7.70	6.18	2.00
Orchis	23.40	7.00	9.85	2.80	2.90	55.00	11.35	2.45	7.50	2.10	7.10	6.00	2.80	4.90	1.10	7.20	5.50	5.30	5.10	1.60	1.20	1.60
Orchis	37.70	7.00	9.80	2.85	3.60	79.00	15.65	2.20	6.70	2.30	10.50	8.70	3.30	6.10	1.20	12.00	10.30	7.90	6.40	1.70	1.10	1.60
Orchis	25.30	7.00	10.20	2.05	3.00	56.00	9.40	2.10	6.70	2.10	7.10	7.30	3.20	5.50	1.00	8.00	6.50	5.30	4.40	1.70	1.10	1.60
Orchis	24.40	6.00	8.15	1.90	2.70	34.00	8.55	2.55	6.60	2.30	7.90	7.50	3.40	5.50	1.40	9.20	6.80	6.20	4.80	1.50	1.10	1.70
Orchis	18.60	6.00	5.95	2.00	2.50	39.00	8.95	2.50	5.50	1.90	5.60	5.70	3.10	4.00	1.10	8.70	5.90	5.90	4.90	1.60	1.20	1.80
Orchis	23.50	7.00	6.60	2.40	2.50	39.00	11.45	2.50	7.10	2.40	7.10	7.20	3.10	5.00	1.20	9.60	8.10	6.80	5.60	1.60	1.10	1.90
Orchis	35.20	10.00	8.20	2.45	4.00	97.00	18.30	1.45	6.60	2.10	9.70	7.70	3.50	5.80	1.40	11.50	10.20	8.20	4.30	1.30	1.00	2.00
Orchis	24.20	6.00	8.05	2.35	3.10	57.00	11.90	2.00	7.20	2.00	8.00	7.60	3.40	5.50	1.00	10.70	8.20	7.70	6.30	1.50	1.00	1.50
Orchis	22.30	6.00	8.20	2.15	2.80	55.00	9.45	1.30	5.70	2.00	7.50	7.00	3.70	5.50	1.70	9.80	7.20	6.30	4.50	1.60	0.90	1.60
Orchis	21.70	6.00	7.35	2.05	2.30	45.00	7.80	1.55	6.70	2.20	6.80	6.60	3.20	5.30	1.40	8.30	6.30	6.10	3.90	1.40	1.00	1.90
Orchis	30.20	7.00	8.55	2.70	3.50	72.00	14.75	2.85	5.90	2.40	7.80	7.50	3.30	5.30	1.00	10.90	8.30	8.20	7.40	1.40	0.90	1.50
Orchis	27.00	8.00	11.00	2.70	3.50	51.00	12.45	1.45	6.60	2.30	8.70	9.00	3.70	7.00	1.50	12.90	11.00	10.00	8.00	1.70	1.40	2.00
Orchis	16.40	5.00	6.10	1.80	2.60	27.00	6.50	1.15	5.30	1.00	7.80	5.80	3.00	4.10	0.90	9.80	8.60	6.10	3.80	1.40	1.10	2.20
Orchis	15.10	5.00	0.00	2.00	2.60	23.00	6.70	1.43	4.50	1.30	7.20	5.70	2.90	4.20	1.20	8.20	5.60	5.00	3.30	1.30	0.90	2.00
Orchis	8.60	4.00	6.80	1.55	2.00	18.00	3.80	1.37	3.70	1.10	4.30	4.60	2.60	3.20	0.90	6.20	4.40	3.50	2.50	1.10	1.20	1.70
Orchis	27.00	8.00	8.50	2.90	7.30	84.00	15.40	1.65	7.40	2.20	8.00	6.50	3.80	4.60	1.80	8.90	6.40	5.70	3.80	1.60	1.50	2.30
Orchis	10.10	5.00	2.30	1.30	2.10	22.00	5.30	1.23	5.50	1.60	6.30	5.30	2.80	3.70	1.10	6.50	4.60	4.40	4.20	1.30	0.90	1.60
Orchis	19.50	5.00	5.20	2.00	2.60	32.00	9.50	1.81	6.10	1.60	6.80	6.00	3.50	4.40	1.50	9.30	7.20	5.40	3.40	1.50	1.40	2.00
Orchis	19.10	7.00	4.90	1.25	3.50	45.00	10.30	1.68	8.00	2.20	7.80	6.30	3.40	4.50	1.20	9.40	7.00	5.70	3.40	1.60	1.30	2.20
Orchis	19.60	8.00	5.70	1.20	2.70	45.00	8.60	1.26	5.40	1.70	7.40	6.20	2.20	4.20	0.50	8.20	6.40	5.30	3.10	1.00	1.00	1.70
Orchis	13.70	6.00	5.00	1.00	2.80	25.00	5.20	1.85	5.30	1.50	6.80	5.50	1.80	3.90	0.30	7.30	5.00	3.70	3.40	1.00	0.80	1.10
Orchis	20.50	9.00	4.40	1.40	3.60	56.00	9.30	1.45	6.00	2.00	7.50	7.70	2.50	5.40	0.60	9.00	7.30	5.00	3.70	1.30	1.30	1.90
Orchis	21.30	9.00	5.20	1.80	2.90	61.00	9.30	1.52	5.50	1.60	6.70	4.40	2.20	3.80	0.80	7.80	5.50	4.80	3.30	1.30	1.40	1.90
Orchis	16.20	6.00	6.30	1.50	2.50	35.00	6.50	1.55	5.30	1.60	7.70	6.60	2.60	4.30	0.60	9.60	7.30	6.20	4.70	1.40	1.30	2.00
Orchis	26.60	7.00	7.20	2.10	3.90	47.00	11.90	2.13	6.40	1.70	8.60	7.20	2.10	4.80	0.50	10.00	8.90	5.60	4.00	1.30	1.50	2.30
Orchis	22.20	8.00	4.10	1.10	2.90	50.00	11.40	1.42	5.70	1.60	6.30	6.50	2.60	4.40	0.40	9.70	7.30	6.80	3.50	1.30	1.30	2.10
Orchis	23.20	9.00	5.30	1.20	2.70	35.00	9.80	1.98	5.70	1.90	7.80	7.20	3.00	5.20	1.10	9.10	6.90	5.80	4.00	1.60	1.60	2.30
Orchis	21.90	7.00	5.60	1.90	2.60	29.00	9.20	1.43	4.70	1.40	7.20	5.90	2.50	4.10	0.70	7.80	5.70	5.40	4.00	1.30	1.40	2.00
Orchis	19.90	8.00	4.60	1.60	2.90	40.00	9.30	1.72	6.00	2.30	9.20	7.40	2.70	5.10	1.00	8.20	6.80	5.20	3.70	1.10	1.60	2.40
Orchis	25.20	6.00	6.70	1.80	3.50	63.00	12.10	2.10	5.35	1.36	5.84	6.05	2.53	4.17	1.53	8.43	6.25	5.54	3.91	1.87	0.85	1.36
Orchis	35.20	7.00	7.30	2.10	4.40	120.00	21.30	3.30	5.55	1.38	6.55	5.73	2.41	4.76	1.36	8.73	6.21	6.52	2.89	1.61	1.11	1.87
Orchis	35.30	8.00	8.30	2.90	4.30	115.00	19.80	2.90	4.57	1.09	6.86	5.17	2.40	3.05	1.19	8.43	6.27	6.39	2.80	2.20	1.44	1.19
Orchis	19.60	6.00	6.20	2.00	3.40	39.00	8.90	2.20	4.96	1.93	6.71	6.23	2.72	4.72	1.36	9.56	7.17	6.88	4.00	1.70	1.61	1.32
Orchis	18.30	5.00	5.30	1.60	3.20	37.00	7.70	1.70	5.95	1.44	8.15	6.27	2.97	4.15	1.02	8.44	5.68	6.91	4.24	2.63	0.85	1.27
Orchis	25.20	5.00	8.40	1.80	3.30	82.00	12.50	2.10	4.41	1.87	9.26	6.50	3.06	5.17	1.61	10.09	6.74	8.09	4.75	2.30	1.10	1.19
Orchis	35.80	8.00	8.40	2.30	3.80	103.00	18.40	2.80	4.85	1.61	6.22	5.63	2.43	4.33	1.27	9.46	6.78	6.22	3.48	1.78	1.10	1.53
Orchis	27.30	8.00	6.50	2.00	3.70	71.00	14.60	1.90	4.66	1.70	6.29	5.17	2.54	4.16	0.97	8.13	5.76	5.68	3.87	1.63	0.76	1.03
Orchis	31.20	8.00	4.80	1.80	4.10	100.00	17.10	2.10	4.76	1.54	6.76	6.80	2.76	4.29	1.10	9.01	6.38	6.71	3.91	2.05	0.76	1.19
Orchis	27.20	6.00	6.40	2.40	2.90	59.00	12.30	2.00	3.31	0.97	6.10	4.57	2.36	3.14	0.85	7.05	4.58	5.09	3.22	1.54	0.93	1.20
Orchis	24.30	11.00	7.45	1.95	4.80	45.00	6.70	1.40	5.60	2.30	14.50	14.00	4.60	6.90	2.30	15.40	11.60	11.80	12.50	3.70	9.80	1.30
Orchis	15.00	7.00	6.40	1.55	2.80	14.00	3.60	0.65	5.50	1.60	10.40	13.30	3.90	6.70	2.00	13.00	7.80	11.10	11.60	3.00	7.70	1.00
Orchis	18.70	9.00	5.30	1.80	3.40	27.00	5.85	1.15	4.80	2.30	11.40	12.30	3.90	6.10	2.00	12.20	8.00	11.60	9.20	3.30	8.60	1.10
Orchis	21.50	10.00	7.45	1.50	3.00	21.00	3.60	0.60	7.20	2.30	10.00	3.60	4.30	6.00	2.30	15.80	7.20	13.70	11.40	3.50	8.40	1.20
Orchis	22.80	9.00	6.70	1.90	2.90	28.00	5.30	0.55	0.00	0.00	10.90	12.20	4.10	6.40	2.20	17.00	8.50	14.30	12.80	3.70	9.70	1.00
Orchis	25.20	13.00	6.00	1.75	5.00	42.00	7.45	1.60	5.20	3.00	13.70	13.40	4.30	6.20	2.10	13.40	8.00	12.50	11.00	3.70	7.20	1.30
Orchis	20.10	7.00	6.55	1.25	2.90	18.00	3.90	0.50	3.00	0.70	11.20	12.60	3.40	6.30	2.00	13.80	7.70	10.80	8.00	3.20	6.90	1.10
Orchis	41.90	14.00	10.65	2.15	5.30	64.00	7.40	0.75	4.60	1.80	15.00	18.60	4.70	8.00	2.30	20.10	11.10	17.50	15.90	3.70	10.00	1.40
Orchis	18.60	9.00	6.60	1.80	3.20	27.00	3.90	0.25	2.50	1.10	10.10	13.10	4.40	7.00	2.10	14.20	7.70	11.90	12.70	3.50	10.00	1.40
Orchis	26.20	8.00	5.10	1.40	3.20	26.00	5.50	1.10	4.20	1.50	12.40	11.30	3.70	6.20	1.80	15.20	9.50	12.30	11.00	3.90	8.50	1.30
Orchis	26.50	10.00	6.00	1.20	4.20	27.00	6.30	1.10	5.46	1.83	16.57	15.76	4.13	6.97	2.20	18.57	13.95	10.80	18.36	17.50	8.16	2.45
Orchis	20.50	9.00	5.70	1.30	3.90	20.00	3.90	1.20	5.39	1.10	11.91	12.23	4.21	6.33	2.21	19.18	12.84	9.67	11.75	9.38	7.28	2.81
Orchis	22.90	10.00	5.20	1.20	4.70	25.00	5.70	1.20	5.36	1.01	10.83	13.72	4.03	7.07	2.24	17.19	13.48	10.90	11.42	8.10	6.64	1.95
Orchis	23.10	8.00	5.10	1.20	3.20	14.00	3.50	1.00	3.14	1.89	11.64	15.01	4.95	7.60	2.39	22.12	14.29	12.82	14.58	9.18	7.04	3.22
Orchis	23.30	8.00	4.90	1.20	3.20	17.00	3.20	1.10	3.64	1.23	13.58	10.62	4.04	4.85	1.78	14.77	9.36	8.52	13.16	8.02	9.14	2.64
Orchis	27.30	11.00	6.30	1.40	3.80	46.00	4.90	1.30	5.31	1.10	14.19	13.74	4.48	4.85	2.02	18.24	11.70	10.76	14.64	19.57	7.11	2.10
Orchis	20.80	11.00	6.10	1.20	4.10	33.00	4.30	1.10	5.63	1.36	13.71	13.18	4.69	6.20	2.66	18.58	11.72	9.69	15.78	16.65	8.43	2.48
Orchis	20.70	9.00	6.20	1.70	4.30	26.00	4.10	0.90	5.10	1.64	11.45	11.54	3.97	6.09	2.49	15.77	12.00	8.50	18.65	12.28	9.25	2.60
Orchis	21.80	8.00	6.20	1.10	3.50	25.00	4.10	1.00	5.08	1.10	10.28	11.29	4.16	4.31	2.11	13.73	8.16	8.16	12.98	10.28	7.29	2.28
Orchis	23.50	9.00	6.00	1.70	4.40	30.00	4.60	1.30	5.52	1.18	9.98	13.58	4.69	6.28	2.39	18.93	11.13	10.23	11.83	10.49	6.26	1.51
Orchis	30.80	10.00	8.70	1.70	4.20	22.00	6.30	1.40	3.67	2.28	12.58	17.49	5.28	8.24	3.58	24.51	13.34	13.71	14.32	19.69	6.78	2.09
Orchis	29.90	12.00	9.90	1.80	5.10	42.00	8.20	1.70	3.52	2.04	9.37	13.33	4.37	5.37	2.72	18.79	9.05	10.06	8.17	7.78	7.22	2.43
Orchis	33.30	11.00	8.30	2.40	5.50	47.00	8.70	1.30	4.56	2.33	12.71	13.59	4.43	6.80	2.02	19.43	12.24	9.32	11.36	5.88	7.65	2.82
Orchis	28.40	12.00	8.40	1.60	3.20	27.00	7.70	1.30	7.19	3.30	13.59	14.21	4.57	7.21	3.46	22.04	13.51	13.55	13.10	13.95	9.55	3.04
Orchis	28.80	12.00	9.40	1.50	3.90	38.00	7.00	1.40	7.55	2.15	10.26	13.84	6.22	4.84	2.42	19.38	12.48	10.32	15.94	11.02	8.53	2.47
Orchis	28.40	9.00	7.70	1.80	4.20	43.00	7.20	1.20	4.59	1.83	10.02	15.04	4.38	7.03	2.55	22.88	11.45	12.67	18.03	11.20	8.17	3.58
Orchis	27.30	8.00	10.20	2.10	4.20	27.00	6.30	1.40	4.24	1.57	13.77	15.79	4.51	6.67	2.85	20.36	12.07	10.79	13.67	14.46	8.71	2.48
Orchis	27.80	11.00	8.30	1.80	3.70	32.00	5.50	1.30	7.87	1.01	16.67	16.20	5.35	6.32	2.80	24.91	13.68	13.63	13.10	8.54	8.85	3.23
Orchis	37.40	12.00	9.30	2.60	6.20	44.00	9.20	1.50	3.84	1.08	8.30	14.11	4.18	4.27	2.29	19.18	11.85	12.29	12.91	8.22	8.56	2.66
Orchis	27.70	11.00	8.00	1.70	3.70	24.00	5.70	1.20	5.37	1.52	9.24	14.48	3.63	6.45	2.09	19.39	12.24	9.26	11.21	11.20	6.15	2.85
Orchis	34.10	6.00	14.70	3.35	3.40	21.00	5.90	0.70	0.70	1.40	9.90	10.00	4.10	7.50	1.60	10.50	7.10	8.50	11.30	2.50	7.80	1.10
Orchis	30.20	5.00	15.25	2.70	2.70	15.00	4.10	0.66	4.60	0.70	9.10	11.60	3.70	7.80	1.30	11.60	5.50	10.60	15.30	2.10	7.80	1.30
Orchis	30.50	6.00	14.35	2.55	2.40	15.00	3.70	0.69	2.30	0.60	8.40	13.20	3.40	9.20	1.20	10.90	7.10	9.40	9.00	1.80	7.40	1.20
Orchis	38.10	5.00	16.75	3.00	2.90	17.00	5.75	2.05	5.70	1.00	9.80	13.30	4.20	8.90	1.30	12.30	6.90	10.90	15.70	2.50	7.70	1.20
Orchis	28.70	5.00	11.30	2.20	2.20	13.00	4.35	0.87	6.60	0.60	9.00	9.40	3.20	7.60	0.90	9.60	5.70	8.40	11.50	1.90	6.10	1.20
Orchis	27.60	6.00	12.25	2.65	3.00	22.00	5.00	0.60	4.50	1.00	11.50	14.20	3.80	10.60	1.10	10.80	7.80	9.30	15.90	2.20	7.00	1.10
Orchis	36.70	6.00	12.15	3.85	3.60	21.00	7.00	1.38	1.60	1.00	12.60	15.00	5.10	10.70	1.50	14.40	7.60	13.00	18.00	2.80	6.50	1.20
Orchis	40.00	6.00	18.50	3.70	3.70	30.00	7.50	1.82	9.00	1.10	10.20	12.50	4.20	10.20	1.60	13.00	7.20	11.30	15.20	2.40	7.50	1.20
Orchis	31.20	5.00	15.50	3.85	3.00	25.00	5.00	1.28	1.00	0.90	9.90	12.20	4.50	10.00	1.30	12.50	8.10	11.90	11.70	2.20	7.10	1.10
Orchis	32.00	7.00	11.45	3.15	2.80	19.00	4.40	0.78	0.40	0.80	8.80	11.30	3.90	8.60	1.30	12.00	5.70	10.80	11.70	2.00	7.10	1.00
Orchis	28.00	5.00	11.75	2.65	3.10	19.00	4.00	0.43	0.70	0.90	9.00	11.10	3.70	7.80	1.20	10.50	5.40	9.70	11.50	2.60	7.80	1.30
Orchis	26.80	5.00	15.55	2.85	2.60	18.00	4.85	0.45	1.00	0.90	8.60	11.60	4.00	9.00	1.10	10.90	7.10	9.90	10.80	2.30	8.30	1.20
Orchis	25.10	6.00	9.80	2.60	2.50	16.00	3.70	0.67	1.00	1.00	8.50	10.20	3.70	6.20	0.90	10.30	6.30	8.90	7.90	2.40	6.20	1.30
Orchis	31.90	6.00	5.60	2.50	3.50	17.00	6.30	1.00	2.40	0.70	10.60	12.50	3.50	9.10	1.10	14.80	7.00	13.40	12.10	2.00	7.00	1.30
Orchis	45.50	7.00	13.40	3.80	5.00	27.00	9.10	1.21	1.60	0.90	10.50	12.00	3.80	8.50	1.40	12.20	8.00	10.00	12.50	2.70	7.50	1.60
Orchis	22.60	6.00	7.60	2.50	3.10	17.00	4.40	0.76	0.80	1.00	8.20	12.50	3.50	8.80	1.00	10.00	5.80	8.00	7.20	2.10	6.00	1.30
Orchis	43.30	5.00	11.80	3.30	4.30	25.00	9.10	1.32	3.80	1.50	11.70	14.10	4.50	9.60	1.50	12.50	7.00	10.90	10.10	2.30	7.20	1.20
Orchis	33.60	5.00	10.20	2.70	3.00	15.00	5.60	0.66	0.70	1.20	9.00	11.00	3.10	8.50	0.80	12.90	6.70	10.70	8.70	1.80	5.70	1.20
Orchis	36.20	7.00	10.20	3.40	3.80	24.00	5.80	0.87	1.30	1.60	9.80	11.10	4.10	7.60	1.30	12.50	7.20	9.50	12.20	2.50	7.00	1.40
Orchis	20.90	4.00	9.60	2.30	3.30	13.00	2.70	0.39	1.40	1.50	7.60	9.30	4.10	6.40	1.20	9.50	4.90	8.00	9.00	2.30	6.20	1.10
Orchis	36.60	6.00	13.30	3.20	4.30	23.00	6.20	0.82	3.70	1.40	9.90	12.00	4.30	8.00	1.30	11.30	6.30	9.70	9.40	2.30	7.40	1.30
Orchis	23.60	6.00	9.80	2.20	3.00	11.00	4.00	0.36	0.00	0.00	8.30	11.60	3.80	8.00	1.00	9.80	4.70	8.30	6.10	2.00	6.10	1.10
Orchis	33.30	7.00	12.00	3.40	3.40	21.00	4.35	0.71	1.50	0.90	7.30	11.60	4.70	8.40	1.40	11.80	6.70	10.20	12.20	2.10	7.20	1.40
Orchis	29.20	6.00	12.30	3.00	2.70	14.00	3.87	0.89	0.00	0.00	6.20	10.10	4.20	7.90	1.30	11.00	7.30	8.50	9.70	1.80	6.50	1.30
Orchis	30.50	6.00	12.40	3.90	3.50	18.00	4.14	0.97	0.00	0.00	8.10	12.00	4.20	8.90	1.70	11.00	7.10	9.40	8.90	2.10	7.30	1.50
Orchis	27.90	5.00	11.20	2.80	2.70	12.00	3.36	0.67	6.60	1.60	8.10	11.80	4.50	8.60	1.70	10.50	5.20	9.40	10.20	2.20	7.80	1.40
Orchis	27.70	5.00	11.60	2.40	2.80	12.00	3.02	0.48	2.90	1.30	8.00	11.80	4.90	8.90	1.40	11.80	7.60	10.00	8.90	2.10	6.80	1.70
Orchis	26.90	6.00	13.90	2.40	2.90	10.00	2.67	0.65	2.20	0.80	8.70	12.00	4.50	8.40	1.50	11.40	7.60	9.90	11.40	1.80	7.00	1.40
Orchis	35.60	6.00	14.60	3.80	3.00	14.00	3.83	0.65	7.40	1.10	8.60	12.00	4.70	8.50	1.30	12.50	7.50	11.30	10.10	2.10	6.80	1.40
Orchis	28.70	6.00	11.20	3.20	3.00	14.00	3.39	0.59	0.00	0.00	8.60	12.20	4.20	8.40	1.20	12.30	8.70	9.90	10.10	1.80	7.50	1.40
Orchis	25.50	6.00	11.40	2.70	2.60	16.00	4.23	0.79	10.30	1.50	7.30	11.10	3.90	8.00	1.30	11.60	7.00	10.40	8.50	1.50	7.10	1.50
Orchis	30.60	5.00	12.70	3.30	2.70	18.00	3.89	0.44	0.00	0.00	9.00	10.80	4.60	8.40	1.50	11.80	7.00	10.50	10.00	1.90	6.80	1.30
