Genus	H	NL	L2l	w2l	StD	NF	IL	iaxL	BrL 	Brw	OvL	SlaL	Slaw	PetL	Petw	LipL	LlalL	LmlL	Lipw	Lmlw	SpL	SpD
Anacamptis	16.50	7.00	5.15	1.15	2.10	6.00	3.95	2.10	11.60	5.00	14.30	7.80	3.60	6.00	1.90	6.80	7.30	1.30	15.00	6.20	17.00	1.90
Anacamptis	15.30	7.00	6.60	1.05	2.00	6.00	4.15	2.10	11.20	4.20	13.10	8.40	3.10	6.00	1.40	7.10	6.60	2.20	13.60	6.00	15.50	2.40
Anacamptis	27.30	8.00	8.10	1.35	2.60	6.00	4.80	3.05	13.30	5.70	15.80	8.30	4.30	6.00	2.00	6.70	7.30	1.70	15.20	6.40	16.90	2.60
Anacamptis	21.40	9.00	6.80	1.30	2.40	8.00	4.55	1.90	12.60	6.00	14.90	8.50	4.10	6.40	2.10	6.90	6.90	1.10	13.30	6.50	18.30	2.20
Anacamptis	25.10	9.00	6.85	1.50	3.00	10.00	4.85	1.85	12.40	4.80	15.80	8.10	3.90	5.80	2.00	6.00	5.60	1.70	13.00	6.20	16.20	2.30
Anacamptis	20.70	9.00	7.40	1.35	2.70	7.00	4.40	2.10	13.20	5.10	14.70	7.90	3.40	6.10	2.10	6.60	6.50	1.80	14.00	5.30	17.20	2.30
Anacamptis	18.30	8.00	4.85	1.30	2.50	7.00	3.90	1.95	10.40	4.30	12.60	7.30	3.30	5.10	1.80	6.10	6.70	1.50	14.00	4.80	13.40	2.30
Anacamptis	11.50	8.00	4.55	0.70	1.80	4.00	2.40	0.00	11.60	3.70	12.00	7.40	3.10	5.80	1.90	6.50	6.40	1.80	14.30	6.10	14.50	2.00
Anacamptis	24.50	11.00	4.70	1.15	3.60	12.00	7.55	2.55	15.40	3.80	18.60	10.90	4.50	7.70	3.00	8.10	8.10	1.50	14.80	6.70	13.50	2.30
Anacamptis	20.30	10.00	5.70	1.45	4.00	11.00	4.05	1.40	10.90	4.10	13.00	8.50	4.10	6.40	2.40	8.40	6.90	2.50	15.10	7.90	10.80	2.00
Anacamptis	23.90	12.00	5.35	1.40	3.40	10.00	4.55	1.60	12.80	4.20	14.70	10.70	4.20	7.10	2.50	8.00	8.40	1.50	14.00	6.20	13.20	2.80
Anacamptis	18.10	11.00	4.15	1.50	3.20	9.00	5.10	2.15	12.80	4.70	13.70	10.50	5.00	8.00	2.60	10.70	8.40	4.20	17.40	8.10	13.70	2.10
Anacamptis	14.40	8.00	5.20	1.00	2.60	7.00	3.70	1.70	10.70	4.00	9.90	9.70	4.10	6.50	2.30	6.90	6.10	2.70	13.40	6.40	11.60	1.80
Anacamptis	18.30	11.00	2.80	0.90	3.30	10.00	6.25	2.80	14.60	4.60	15.10	9.90	4.60	7.20	2.80	9.00	7.50	3.20	16.30	7.40	13.70	2.20
Anacamptis	15.10	9.00	4.75	1.15	3.30	6.00	3.65	2.15	12.40	4.00	12.00	9.70	4.80	7.70	2.70	9.00	7.80	2.70	14.20	6.50	11.00	1.90
Anacamptis	21.10	10.00	5.20	1.30	3.90	11.00	5.45	1.75	13.60	3.90	13.70	10.30	4.90	7.50	2.50	8.40	6.90	2.00	13.70	7.20	12.20	2.80
Anacamptis	16.40	9.00	8.00	1.15	2.90	10.00	4.68	1.46	13.50	3.80	12.40	9.10	4.40	6.50	2.40	9.60	8.80	2.50	16.80	6.70	14.70	2.10
Anacamptis	17.50	11.00	4.60	1.20	3.20	11.00	4.31	1.01	12.20	5.00	11.70	8.20	4.70	6.20	2.50	8.60	8.10	1.80	16.60	7.70	12.10	2.50
Anacamptis	13.50	11.00	6.70	1.35	3.70	9.00	4.46	1.45	13.00	4.20	12.20	8.90	4.90	6.60	2.60	9.20	8.10	2.80	17.40	9.20	13.30	2.40
Anacamptis	12.10	11.00	5.80	1.00	2.70	9.00	3.39	1.32	9.80	4.00	10.40	7.80	4.20	5.20	1.70	6.60	6.90	1.80	13.70	5.30	13.70	2.60
Anacamptis	16.20	9.00	6.20	1.05	3.50	9.00	4.35	1.64	14.20	4.20	10.80	8.90	4.20	6.30	2.50	7.60	7.40	2.00	14.00	6.90	10.30	2.30
Anacamptis	8.20	8.00	3.80	0.75	1.90	5.00	2.35	1.54	9.90	3.30	6.80	6.90	3.70	5.80	2.00	6.70	5.90	1.50	12.20	6.80	9.60	2.00
Anacamptis	20.80	7.00	5.80	1.10	3.00	9.00	4.61	1.86	12.10	4.30	11.50	9.20	5.10	6.50	2.20	9.00	9.20	2.60	16.80	6.80	13.00	2.70
Anacamptis	18.50	9.00	3.40	1.20	3.60	10.00	5.20	1.80	9.60	4.60	12.10	8.80	4.10	6.20	2.30	8.20	7.00	2.90	13.10	6.40	11.70	2.30
Anacamptis	15.10	9.00	4.00	0.85	2.60	8.00	3.85	1.80	11.50	3.90	10.90	8.20	3.70	5.60	2.30	7.70	6.80	1.50	12.10	6.30	9.60	2.00
Anacamptis	21.00	9.00	5.20	1.10	3.00	7.00	3.85	2.10	14.40	4.70	10.30	10.00	4.50	7.40	3.20	8.60	6.10	3.00	15.10	8.10	14.00	2.60
Anacamptis	17.00	9.00	3.70	1.05	3.20	7.00	4.25	2.25	12.00	4.40	12.30	10.10	4.70	7.00	2.70	9.60	8.00	3.30	14.50	6.40	11.40	2.00
Anacamptis	18.60	11.00	3.95	1.15	4.80	11.00	5.40	1.85	13.70	5.30	13.50	10.90	4.90	7.30	3.20	9.20	7.60	3.10	14.80	6.00	11.70	2.50
Anacamptis	17.30	9.00	3.65	0.95	2.80	10.00	4.80	2.15	10.80	3.20	9.80	8.40	3.90	6.70	2.30	6.80	5.50	2.00	13.50	7.30	11.10	1.90
